,Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,tfidf,id,gps
0,Palácio da Bahia,"Address5 Rue Riad Zitoun el Jdid, Marrakech 40000 Morocco","After your hammam at Mythic Oriental, come for a stroll in this extravagant 19th century palace. You’ll be able to prolong your relaxation with the beauty and quiet offered here.",,1-2 hours,9:00 AM - 4:30 PM,Historic Sites • Architectural Buildings,"Casa Lalla Restaurant,Mazel مزال Cafe,Restaurant Angsana Si Said,BlackChich Cafe Restaurant,Naranj,Dar Anika Kitchen,Le Tanjia,Fox Art Food,DarDar RoofTop,","Musée Tiskiwin,Place des Ferblantiers,Slat Al Azama Synagogue,Mellah,Dar Si Said Museum,El Badi Palace,Miaara Jewish Cemetery,Jemaa el-Fnaa,Boucharouite Museum,","Palácio da Bahia ; Address5 Rue Riad Zitoun el Jdid, Marrakech 40000 Morocco ; After your hammam at Mythic Oriental, come for a stroll in this extravagant 19th century palace. You’ll be able to prolong your relaxation with the beauty and quiet offered here. ; Historic Sites • Architectural Buildings ; Casa Lalla Restaurant,Mazel مزال Cafe,Restaurant Angsana Si Said,BlackChich Cafe Restaurant,Naranj,Dar Anika Kitchen,Le Tanjia,Fox Art Food,DarDar RoofTop,","palácio,da,bahia,rue,riad,zitoun,el,jdid,marrakech,morocco,hammam,mythic,oriental,come,stroll,extravagant,century,palace,able,prolong,relaxation,beauty,quiet,offer,historic,site,architectural,building,casa,lalla,restaurant,mazel,مزال,cafe,restaurant,angsana,si,say,blackchich,cafe,restaurant,naranj,dar,anika,kitchen,le,tanjia,fox,art,food,dardar,rooftop",0,/maps/dir//Pal%C3%A1cio+da+Bahia+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4772c14bab:0x82985f4745817fdb?sa=X
1,Medina of Marrakesh,"AddressDerb Fhal Zefriti nº6 Derb Fhal Zefriti, Marrakech 40000 Morocco","The medina of Marrakech is a Moroccan medina, the historic heart of Marrakech. It forms one of the five districts that make up the urban municipality of Marrakech.",https://www.tripadvisor.com/RestaurantsNear-g293734-d324126-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,More than 3 hours,12:00 AM - 11:59 PM,Historic Sites • Points of Interest & Landmarks,"Café Restaurant Dar L'hssir,Le Trou au Mur,Kafe Merstan,Kui-Zin Médina,Limoni Cafe and Restaurant,Dar tazi,Beats Burger,L'Mida Marrakech,Bigua Cafe & Restaurant,","Maison de la Photographie,The Orientalist Museum of Marrakech,Musee de Marrakech - Fondation Omar Benjelloun,Musee du Parfum,Museum of Marrakesh,Sahara Riders,Boucharouite Museum,Le Jardin Secret,Musée de l'Art de Vivre,","Medina of Marrakesh ; AddressDerb Fhal Zefriti nº6 Derb Fhal Zefriti, Marrakech 40000 Morocco ; The medina of Marrakech is a Moroccan medina, the historic heart of Marrakech. It forms one of the five districts that make up the urban municipality of Marrakech. ; Historic Sites • Points of Interest & Landmarks ; Café Restaurant Dar L'hssir,Le Trou au Mur,Kafe Merstan,Kui-Zin Médina,Limoni Cafe and Restaurant,Dar tazi,Beats Burger,L'Mida Marrakech,Bigua Cafe & Restaurant,","medina,marrakesh,addressderb,fhal,zefriti,derb,fhal,zefriti,marrakech,morocco,medina,marrakech,moroccan,medina,historic,heart,marrakech,form,one,five,district,make,urban,municipality,marrakech,historic,site,point,interest,landmark,café,restaurant,dar,le,trou,au,mur,kafe,merstan,médina,limoni,cafe,restaurant,dar,tazi,beat,burger,marrakech,bigua,cafe,restaurant",1,/maps/dir//Medina+of+Marrakesh+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee42c79996bb:0x38eae67cc90114f3?sa=X
2,Jemaa el-Fnaa,"J2G6+GV7, Jamaa ElFna, marrakech","This is the entrance to the outdoor market and food court of the city center.
",http://www.unesco.org/culture/ich/en/RL/cultural-space-of-jemaa-el-fna-square-00014,More than 3 hours,10:30 AM - 11:59 PM,Points of Interest & Landmarks • Flea & Street Markets,"Bazaar Café,Casa Lalla Restaurant,Votre Table,Taj Moroccan Food,Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,Dar Cherifa,Cafe Babouche,","Food Markets of Marrakech,Musée Yves Saint Laurent Marrakech,Musée de la Musique,Palácio da Bahia,Rahba Kedima Square,Souk Semmarine,Heritage Museum Marrakech,Boucharouite Museum,Le Jardin Secret,","Jemaa el-Fnaa ; J2G6+GV7, Jamaa ElFna, marrakech ; This is the entrance to the outdoor market and food court of the city center.
 ; Points of Interest & Landmarks • Flea & Street Markets ; Bazaar Café,Casa Lalla Restaurant,Votre Table,Taj Moroccan Food,Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,Dar Cherifa,Cafe Babouche,","jemaa,jamaa,elfna,marrakech,entrance,outdoor,market,food,court,city,center,point,interest,landmark,flea,street,market,bazaar,café,casa,lalla,restaurant,votre,table,taj,moroccan,food,cuisine,de,terroir,la,cantine,de,gazelle,jemaa,elfna,restaurant,dar,cherifa,cafe,babouche",2,/maps/dir//Jemaa+el-Fnaa+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef41749d6bf9:0x72aec20ce3a1e60d?sa=X
3,Koutoubia Mosque,"AddressRue el Ksour, Derb Sabai, 13, Marrakech 40000 Morocco","The Koutoubia Mosque is a religious building built in the 12th century in Marrakech, Morocco. It is the largest mosque in the city. Its architecture and its ascetic decor reflect the art of the Almohads.
A first mosque was built in 1148 by Sultan Almohade Abdelmoumen after conquering Marrakech.",,< 1 hour,12:00 AM - 11:59 PM,Historic Sites • Architectural Buildings • Religious Sites,"Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,Fine Mama?,Snack Grand Atlas,La Villa Des Orangers - Restaurant,Café Kif Kif,Kabana,Restaurant El Bahja,",", '', ,","Koutoubia Mosque ; AddressRue el Ksour, Derb Sabai, 13, Marrakech 40000 Morocco ; The Koutoubia Mosque is a religious building built in the 12th century in Marrakech, Morocco. It is the largest mosque in the city. Its architecture and its ascetic decor reflect the art of the Almohads.
A first mosque was built in 1148 by Sultan Almohade Abdelmoumen after conquering Marrakech. ; Historic Sites • Architectural Buildings • Religious Sites ; Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,Fine Mama?,Snack Grand Atlas,La Villa Des Orangers - Restaurant,Café Kif Kif,Kabana,Restaurant El Bahja,","koutoubia,mosque,addressrue,el,ksour,derb,sabai,marrakech,morocco,koutoubia,mosque,religious,building,build,century,marrakech,morocco,large,mosque,city,architecture,ascetic,decor,reflect,art,almohads,first,mosque,build,sultan,almohade,abdelmoumen,conquer,marrakech,historic,site,architectural,building,religious,site,taj,moroccan,food,âme,et,saveurs,gastro,mk,maison,mk,fine,mama,snack,grand,atlas,la,villa,de,orangers,restaurant,café,kif,kif,kabana,restaurant,el,bahja",3,/maps/dir//Koutoubia+Mosque+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5c99d75ddf:0xd8cd38139a6e6fc2?sa=X
4,El Badi Palace,"Ksibat Nhass, Marrakech 40000","El Badi Palace literally means ""palace of the incomparable"".
The El Badi Palace is located in Marrakech in Morocco. It is an architectural ensemble built at the end of the 16th century.",http://www.palais-el-badi.com/,,8:00 AM - 5:00 PM,Historic Sites,"Mazel مزال Cafe,Le Medina Privilege Riad & Spa Restaurant,Zeitoun Cafe Kasbah,Dar Anika Kitchen,Restaurant Angsana Si Said,Le Tanjia,La Table de La Kasbah,Fox Art Food,Koulchi Zine,","Palácio da Bahia,Place des Ferblantiers,Slat Al Azama Synagogue,Mellah,Cactus Thiemann,Musée Tiskiwin,Dar Si Said Museum,Jemaa el-Fnaa,Saadian Tombs,","El Badi Palace ; Ksibat Nhass, Marrakech 40000 ; El Badi Palace literally means ""palace of the incomparable"".
The El Badi Palace is located in Marrakech in Morocco. It is an architectural ensemble built at the end of the 16th century. ; Historic Sites ; Mazel مزال Cafe,Le Medina Privilege Riad & Spa Restaurant,Zeitoun Cafe Kasbah,Dar Anika Kitchen,Restaurant Angsana Si Said,Le Tanjia,La Table de La Kasbah,Fox Art Food,Koulchi Zine,","el,badi,palace,ksibat,nhass,marrakech,el,badi,palace,literally,mean,palace,incomparable,el,badi,palace,locate,marrakech,morocco,architectural,ensemble,build,end,century,historic,site,mazel,مزال,cafe,le,medina,privilege,riad,spa,restaurant,zeitoun,cafe,kasbah,dar,anika,kitchen,restaurant,angsana,si,say,le,tanjia,la,table,de,la,kasbah,fox,art,food,koulchi,zine",4,/maps/dir//El+Badi+Palace+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4604ce6195:0xea9a85527a0e5a61?sa=X
5,Medersa Ben Youssef,"AddressBen Youssef Square, Marrakech 40000 Morocco","The Ben Youssef medersa is a medersa, Koranic school. A jewel of Saadian architecture, it is located in Marrakech, Morocco.
It was enlarged and redecorated by Abdallah el-Ghalib, Saadian sultan, in 1564-65. The name Ben Youssef comes from that of the Almoravid sultan Ali Ben Youssef.",http://www.medersa-ben-youssef.com/,< 1 hour,9:00 AM - 5:00 PM,Historic Sites • Points of Interest & Landmarks • Architectural Buildings • Educational sites,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Menara Gardens and Pavilion,","Medersa Ben Youssef ; AddressBen Youssef Square, Marrakech 40000 Morocco ; The Ben Youssef medersa is a medersa, Koranic school. A jewel of Saadian architecture, it is located in Marrakech, Morocco.
It was enlarged and redecorated by Abdallah el-Ghalib, Saadian sultan, in 1564-65. The name Ben Youssef comes from that of the Almoravid sultan Ali Ben Youssef. ; Historic Sites • Points of Interest & Landmarks • Architectural Buildings • Educational sites ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","medersa,ben,youssef,addressben,youssef,square,marrakech,morocco,ben,youssef,medersa,medersa,koranic,school,jewel,saadian,architecture,locate,marrakech,morocco,enlarge,redecorate,abdallah,saadian,sultan,name,ben,youssef,come,almoravid,sultan,ali,ben,youssef,historic,site,point,interest,landmark,architectural,building,educational,site,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",5,/maps/dir//Medersa+Ben+Youssef+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee69803640af:0x5512adc5ece4a3a1?sa=X
6,Saadian Tombs,"AddressRue De La Kasbah, Marrakech 40000 Morocco","The Saadian Tombs are located just outside Marrakech and were constructed during the reign of Sultan Ahmad al-Mansur in the late 16th century. This is the resting place of al-Mansur, his family, and other notable officials from that era. These tombs were discovered in 1917; restoration began shortly thereafter. Today, much of its original splendour has been restored.",,< 1 hour,12:00 AM - 11:59 PM,Architectural Buildings • Cemeteries,"Zeitoun Cafe Kasbah,La Table de La Kasbah,Le Medina Privilege Riad & Spa Restaurant,Le Makassar,La Table de La Sultana,Les Jardins de la Medina,Cafe Clock,Mazel مزال Cafe,Dar Anika Kitchen,","Bab Agnaou,Palácio da Bahia,Cactus Thiemann,Kasbah Mosque,El Badi Palace,Jemaa el-Fnaa,Place des Ferblantiers,Musée Tiskiwin,Medina of Marrakesh,","Saadian Tombs ; AddressRue De La Kasbah, Marrakech 40000 Morocco ; The Saadian Tombs are located just outside Marrakech and were constructed during the reign of Sultan Ahmad al-Mansur in the late 16th century. This is the resting place of al-Mansur, his family, and other notable officials from that era. These tombs were discovered in 1917; restoration began shortly thereafter. Today, much of its original splendour has been restored. ; Architectural Buildings • Cemeteries ; Zeitoun Cafe Kasbah,La Table de La Kasbah,Le Medina Privilege Riad & Spa Restaurant,Le Makassar,La Table de La Sultana,Les Jardins de la Medina,Cafe Clock,Mazel مزال Cafe,Dar Anika Kitchen,","saadian,tomb,addressrue,de,la,kasbah,marrakech,morocco,saadian,tomb,locate,outside,marrakech,construct,reign,sultan,ahmad,late,century,rest,place,family,notable,official,era,tomb,discover,restoration,begin,shortly,thereafter,today,much,original,splendour,restore,architectural,building,cemetery,zeitoun,cafe,kasbah,la,table,de,la,kasbah,le,medina,privilege,riad,spa,restaurant,le,makassar,la,table,de,la,sultana,le,jardins,de,la,medina,cafe,clock,mazel,مزال,cafe,dar,anika,kitchen",6,/maps/dir//Saadian+Tombs+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4f1b2c320b:0xfdc76aef839e6ece?sa=X
7,Marrakech Train Station,"AddressHasan II Avenue, Marrakech 40050 Morocco","Located in one of the most beautiful neighborhoods of Morocco, Marrakech can not boast a very impressive size, but if you think it is not up to the task, think again! The train station offers everything you need for a hassle-free journey. Ticket offices, waiting rooms, large screens giving information on upcoming departures are at your disposal, as well as a restaurant where you can buy snacks and drinks to take on board. As this is the only train station in the city, remember that Marrakech can be quite crowded and the queues to buy your tickets can be impressive. So it's best to book your train tickets online.",,More than 3 hours,,Architectural Buildings,"L'Ô A LA BOUCHE - Marrakech,Katsura,Exotic Bali,Riad Kniza Restaurant,Zeitoun Guéliz,Cafe Mama Afrika,Patisserie Gato,16 Cafe,Queen Atlantic,",", '', ,","Marrakech Train Station ; AddressHasan II Avenue, Marrakech 40050 Morocco ; Located in one of the most beautiful neighborhoods of Morocco, Marrakech can not boast a very impressive size, but if you think it is not up to the task, think again! The train station offers everything you need for a hassle-free journey. Ticket offices, waiting rooms, large screens giving information on upcoming departures are at your disposal, as well as a restaurant where you can buy snacks and drinks to take on board. As this is the only train station in the city, remember that Marrakech can be quite crowded and the queues to buy your tickets can be impressive. So it's best to book your train tickets online. ; Architectural Buildings ; L'Ô A LA BOUCHE - Marrakech,Katsura,Exotic Bali,Riad Kniza Restaurant,Zeitoun Guéliz,Cafe Mama Afrika,Patisserie Gato,16 Cafe,Queen Atlantic,","marrakech,train,station,addresshasan,ii,avenue,marrakech,morocco,locate,one,beautiful,neighborhood,morocco,marrakech,boast,impressive,size,think,task,think,train,station,offer,everything,need,journey,ticket,office,wait,room,large,screen,give,information,upcoming,departure,disposal,well,restaurant,buy,snack,drink,take,board,train,station,city,remember,marrakech,quite,crowd,queue,buy,ticket,impressive,best,book,train,ticket,online,architectural,building,la,bouche,marrakech,katsura,exotic,bali,riad,kniza,restaurant,zeitoun,guéliz,cafe,mama,afrika,patisserie,cafe,queen,atlantic",7,/maps/dir//Marrakech+Train+Station+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee93ae6f6489:0x3b48dfb186a12d75?sa=X
8,Rahba Kedima Square,"Marrakech 40000 , Morocco",This is a bazaar which mostly offers spices and other specialty goods.,,1-2 hours,7:00 AM - 6:00 PM,Points of Interest & Landmarks,"Bazaar Café,Votre Table,L'Mida Marrakech,Cuisine De Terroir,La Cantine Des Gazelles,Taj Moroccan Food,Jemaa ElFna Restaurant,Terrasse de la fontaine,Dar Cherifa,","Musée Yves Saint Laurent Marrakech,Musée de la Musique,Heritage Museum Marrakech,Souk Semmarine,Boucharouite Museum,Jemaa el-Fnaa,Le Jardin Secret,The Orientalist Museum of Marrakech,Medina of Marrakesh,","Rahba Kedima Square ; Marrakech 40000 , Morocco ; This is a bazaar which mostly offers spices and other specialty goods. ; Points of Interest & Landmarks ; Bazaar Café,Votre Table,L'Mida Marrakech,Cuisine De Terroir,La Cantine Des Gazelles,Taj Moroccan Food,Jemaa ElFna Restaurant,Terrasse de la fontaine,Dar Cherifa,","rahba,kedima,square,marrakech,morocco,bazaar,mostly,offer,spice,specialty,good,point,interest,landmark,bazaar,café,votre,table,marrakech,cuisine,de,terroir,la,cantine,de,gazelle,taj,moroccan,food,jemaa,elfna,restaurant,terrasse,de,la,fontaine,dar,cherifa",8,
9,Gueliz,"Gueliz , Marrakech 40000 , Morocco","Dating back to French colonial times, Guéliz's grand streets are home to high-end restaurants of Moroccan and European cuisines, as well as cabarets, chic bars, art galleries, and mainstream fashion boutiques. Founded by the painter Majorelle, then purchased by Yves Saint Laurent, the Majorelle Garden features lawns, cacti, flowers and various elements painted in cobalt blue. Located near El-Harti Park, the Church of the Holy Martyrs features Moorish-style arches. - Google",,,,Neighborhoods • Historic Walking Areas,", '', ,","Palooza Park,Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,The Orientalist Museum of Marrakech,Boucharouite Museum,Dar El Bacha - Musee des Confluences,","Gueliz ; Gueliz , Marrakech 40000 , Morocco ; Dating back to French colonial times, Guéliz's grand streets are home to high-end restaurants of Moroccan and European cuisines, as well as cabarets, chic bars, art galleries, and mainstream fashion boutiques. Founded by the painter Majorelle, then purchased by Yves Saint Laurent, the Majorelle Garden features lawns, cacti, flowers and various elements painted in cobalt blue. Located near El-Harti Park, the Church of the Holy Martyrs features Moorish-style arches. - Google ; Neighborhoods • Historic Walking Areas ; , '', ,","gueliz,gueliz,marrakech,morocco,date,back,french,colonial,time,guéliz,grand,street,home,restaurant,moroccan,european,cuisine,well,cabaret,chic,bar,art,gallery,mainstream,fashion,boutique,found,painter,majorelle,purchase,yves,saint,laurent,majorelle,garden,feature,lawns,cactus,flower,various,element,paint,cobalt,blue,locate,near,park,church,holy,martyr,feature,arch,google,neighborhood,historic,walk,area",9,
