Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,gps,img_url
Palácio da Bahia,"Address5 Rue Riad Zitoun el Jdid, Marrakech 40000 Morocco","After your hammam at Mythic Oriental, come for a stroll in this extravagant 19th century palace. You’ll be able to prolong your relaxation with the beauty and quiet offered here.",,1-2 hours,9:00 AM - 4:30 PM,Historic Sites • Architectural Buildings,"Casa Lalla Restaurant,Mazel مزال Cafe,Restaurant Angsana Si Said,BlackChich Cafe Restaurant,Naranj,Dar Anika Kitchen,Le Tanjia,Fox Art Food,DarDar RoofTop,","Musée Tiskiwin,Place des Ferblantiers,Slat Al Azama Synagogue,Mellah,Dar Si Said Museum,El Badi Palace,Miaara Jewish Cemetery,Jemaa el-Fnaa,Boucharouite Museum,","Palácio da Bahia ; Address5 Rue Riad Zitoun el Jdid, Marrakech 40000 Morocco ; After your hammam at Mythic Oriental, come for a stroll in this extravagant 19th century palace. You’ll be able to prolong your relaxation with the beauty and quiet offered here. ; Historic Sites • Architectural Buildings ; Casa Lalla Restaurant,Mazel مزال Cafe,Restaurant Angsana Si Said,BlackChich Cafe Restaurant,Naranj,Dar Anika Kitchen,Le Tanjia,Fox Art Food,DarDar RoofTop,",/maps/dir//Pal%C3%A1cio+da+Bahia+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4772c14bab:0x82985f4745817fdb?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1c/b7/1c/2e/service-midi.jpg
Medina of Marrakesh,"AddressDerb Fhal Zefriti nº6 Derb Fhal Zefriti, Marrakech 40000 Morocco","The medina of Marrakech is a Moroccan medina, the historic heart of Marrakech. It forms one of the five districts that make up the urban municipality of Marrakech.",https://www.tripadvisor.com/RestaurantsNear-g293734-d324126-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,More than 3 hours,12:00 AM - 11:59 PM,Historic Sites • Points of Interest & Landmarks,"Café Restaurant Dar L'hssir,Le Trou au Mur,Kafe Merstan,Kui-Zin Médina,Limoni Cafe and Restaurant,Dar tazi,Beats Burger,L'Mida Marrakech,Bigua Cafe & Restaurant,","Maison de la Photographie,The Orientalist Museum of Marrakech,Musee de Marrakech - Fondation Omar Benjelloun,Musee du Parfum,Museum of Marrakesh,Sahara Riders,Boucharouite Museum,Le Jardin Secret,Musée de l'Art de Vivre,","Medina of Marrakesh ; AddressDerb Fhal Zefriti nº6 Derb Fhal Zefriti, Marrakech 40000 Morocco ; The medina of Marrakech is a Moroccan medina, the historic heart of Marrakech. It forms one of the five districts that make up the urban municipality of Marrakech. ; Historic Sites • Points of Interest & Landmarks ; Café Restaurant Dar L'hssir,Le Trou au Mur,Kafe Merstan,Kui-Zin Médina,Limoni Cafe and Restaurant,Dar tazi,Beats Burger,L'Mida Marrakech,Bigua Cafe & Restaurant,",/maps/dir//Medina+of+Marrakesh+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee42c79996bb:0x38eae67cc90114f3?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/06/8b/5d/35/bazaar-cafe.jpg
Jemaa el-Fnaa,"J2G6+GV7, Jamaa ElFna, marrakech","This is the entrance to the outdoor market and food court of the city center.
",http://www.unesco.org/culture/ich/en/RL/cultural-space-of-jemaa-el-fna-square-00014,More than 3 hours,10:30 AM - 11:59 PM,Points of Interest & Landmarks • Flea & Street Markets,"Bazaar Café,Casa Lalla Restaurant,Votre Table,Taj Moroccan Food,Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,Dar Cherifa,Cafe Babouche,","Food Markets of Marrakech,Musée Yves Saint Laurent Marrakech,Musée de la Musique,Palácio da Bahia,Rahba Kedima Square,Souk Semmarine,Heritage Museum Marrakech,Boucharouite Museum,Le Jardin Secret,","Jemaa el-Fnaa ; J2G6+GV7, Jamaa ElFna, marrakech ; This is the entrance to the outdoor market and food court of the city center.
 ; Points of Interest & Landmarks • Flea & Street Markets ; Bazaar Café,Casa Lalla Restaurant,Votre Table,Taj Moroccan Food,Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,Dar Cherifa,Cafe Babouche,",/maps/dir//Jemaa+el-Fnaa+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef41749d6bf9:0x72aec20ce3a1e60d?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/19/e0/e2/ec/salle-principale-de-la.jpg
Koutoubia Mosque,"AddressRue el Ksour, Derb Sabai, 13, Marrakech 40000 Morocco","The Koutoubia Mosque is a religious building built in the 12th century in Marrakech, Morocco. It is the largest mosque in the city. Its architecture and its ascetic decor reflect the art of the Almohads.
A first mosque was built in 1148 by Sultan Almohade Abdelmoumen after conquering Marrakech.",,< 1 hour,12:00 AM - 11:59 PM,Historic Sites • Architectural Buildings • Religious Sites,"Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,Fine Mama?,Snack Grand Atlas,La Villa Des Orangers - Restaurant,Café Kif Kif,Kabana,Restaurant El Bahja,",", '', ,","Koutoubia Mosque ; AddressRue el Ksour, Derb Sabai, 13, Marrakech 40000 Morocco ; The Koutoubia Mosque is a religious building built in the 12th century in Marrakech, Morocco. It is the largest mosque in the city. Its architecture and its ascetic decor reflect the art of the Almohads.
A first mosque was built in 1148 by Sultan Almohade Abdelmoumen after conquering Marrakech. ; Historic Sites • Architectural Buildings • Religious Sites ; Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,Fine Mama?,Snack Grand Atlas,La Villa Des Orangers - Restaurant,Café Kif Kif,Kabana,Restaurant El Bahja,",/maps/dir//Koutoubia+Mosque+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5c99d75ddf:0xd8cd38139a6e6fc2?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/14/fa/e5/8b/patio-salle-restaurant.jpg
El Badi Palace,"Ksibat Nhass, Marrakech 40000","El Badi Palace literally means ""palace of the incomparable"".
The El Badi Palace is located in Marrakech in Morocco. It is an architectural ensemble built at the end of the 16th century.",http://www.palais-el-badi.com/,,8:00 AM - 5:00 PM,Historic Sites,"Mazel مزال Cafe,Le Medina Privilege Riad & Spa Restaurant,Zeitoun Cafe Kasbah,Dar Anika Kitchen,Restaurant Angsana Si Said,Le Tanjia,La Table de La Kasbah,Fox Art Food,Koulchi Zine,","Palácio da Bahia,Place des Ferblantiers,Slat Al Azama Synagogue,Mellah,Cactus Thiemann,Musée Tiskiwin,Dar Si Said Museum,Jemaa el-Fnaa,Saadian Tombs,","El Badi Palace ; Ksibat Nhass, Marrakech 40000 ; El Badi Palace literally means ""palace of the incomparable"".
The El Badi Palace is located in Marrakech in Morocco. It is an architectural ensemble built at the end of the 16th century. ; Historic Sites ; Mazel مزال Cafe,Le Medina Privilege Riad & Spa Restaurant,Zeitoun Cafe Kasbah,Dar Anika Kitchen,Restaurant Angsana Si Said,Le Tanjia,La Table de La Kasbah,Fox Art Food,Koulchi Zine,",/maps/dir//El+Badi+Palace+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4604ce6195:0xea9a85527a0e5a61?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1b/1f/3b/81/an-enchanting-atmosphere.jpg
Medersa Ben Youssef,"AddressBen Youssef Square, Marrakech 40000 Morocco","The Ben Youssef medersa is a medersa, Koranic school. A jewel of Saadian architecture, it is located in Marrakech, Morocco.
It was enlarged and redecorated by Abdallah el-Ghalib, Saadian sultan, in 1564-65. The name Ben Youssef comes from that of the Almoravid sultan Ali Ben Youssef.",http://www.medersa-ben-youssef.com/,< 1 hour,9:00 AM - 5:00 PM,Historic Sites • Points of Interest & Landmarks • Architectural Buildings • Educational sites,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Menara Gardens and Pavilion,","Medersa Ben Youssef ; AddressBen Youssef Square, Marrakech 40000 Morocco ; The Ben Youssef medersa is a medersa, Koranic school. A jewel of Saadian architecture, it is located in Marrakech, Morocco.
It was enlarged and redecorated by Abdallah el-Ghalib, Saadian sultan, in 1564-65. The name Ben Youssef comes from that of the Almoravid sultan Ali Ben Youssef. ; Historic Sites • Points of Interest & Landmarks • Architectural Buildings • Educational sites ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,",/maps/dir//Medersa+Ben+Youssef+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee69803640af:0x5512adc5ece4a3a1?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1d/41/fd/f1/equipe-taj-moroccan-food.jpg
Saadian Tombs,"AddressRue De La Kasbah, Marrakech 40000 Morocco","The Saadian Tombs are located just outside Marrakech and were constructed during the reign of Sultan Ahmad al-Mansur in the late 16th century. This is the resting place of al-Mansur, his family, and other notable officials from that era. These tombs were discovered in 1917; restoration began shortly thereafter. Today, much of its original splendour has been restored.",,< 1 hour,12:00 AM - 11:59 PM,Architectural Buildings • Cemeteries,"Zeitoun Cafe Kasbah,La Table de La Kasbah,Le Medina Privilege Riad & Spa Restaurant,Le Makassar,La Table de La Sultana,Les Jardins de la Medina,Cafe Clock,Mazel مزال Cafe,Dar Anika Kitchen,","Bab Agnaou,Palácio da Bahia,Cactus Thiemann,Kasbah Mosque,El Badi Palace,Jemaa el-Fnaa,Place des Ferblantiers,Musée Tiskiwin,Medina of Marrakesh,","Saadian Tombs ; AddressRue De La Kasbah, Marrakech 40000 Morocco ; The Saadian Tombs are located just outside Marrakech and were constructed during the reign of Sultan Ahmad al-Mansur in the late 16th century. This is the resting place of al-Mansur, his family, and other notable officials from that era. These tombs were discovered in 1917; restoration began shortly thereafter. Today, much of its original splendour has been restored. ; Architectural Buildings • Cemeteries ; Zeitoun Cafe Kasbah,La Table de La Kasbah,Le Medina Privilege Riad & Spa Restaurant,Le Makassar,La Table de La Sultana,Les Jardins de la Medina,Cafe Clock,Mazel مزال Cafe,Dar Anika Kitchen,",/maps/dir//Saadian+Tombs+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4f1b2c320b:0xfdc76aef839e6ece?sa=X,https://www.azarmarrakech.com/storage/galeries/July2021/eVH4gBF9F9cWJMQg2UWv.jpg
Marrakech Train Station,"AddressHasan II Avenue, Marrakech 40050 Morocco","Located in one of the most beautiful neighborhoods of Morocco, Marrakech can not boast a very impressive size, but if you think it is not up to the task, think again! The train station offers everything you need for a hassle-free journey. Ticket offices, waiting rooms, large screens giving information on upcoming departures are at your disposal, as well as a restaurant where you can buy snacks and drinks to take on board. As this is the only train station in the city, remember that Marrakech can be quite crowded and the queues to buy your tickets can be impressive. So it's best to book your train tickets online.",,More than 3 hours,,Architectural Buildings,"L'Ô A LA BOUCHE - Marrakech,Katsura,Exotic Bali,Riad Kniza Restaurant,Zeitoun Guéliz,Cafe Mama Afrika,Patisserie Gato,16 Cafe,Queen Atlantic,",", '', ,","Marrakech Train Station ; AddressHasan II Avenue, Marrakech 40050 Morocco ; Located in one of the most beautiful neighborhoods of Morocco, Marrakech can not boast a very impressive size, but if you think it is not up to the task, think again! The train station offers everything you need for a hassle-free journey. Ticket offices, waiting rooms, large screens giving information on upcoming departures are at your disposal, as well as a restaurant where you can buy snacks and drinks to take on board. As this is the only train station in the city, remember that Marrakech can be quite crowded and the queues to buy your tickets can be impressive. So it's best to book your train tickets online. ; Architectural Buildings ; L'Ô A LA BOUCHE - Marrakech,Katsura,Exotic Bali,Riad Kniza Restaurant,Zeitoun Guéliz,Cafe Mama Afrika,Patisserie Gato,16 Cafe,Queen Atlantic,",/maps/dir//Marrakech+Train+Station+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee93ae6f6489:0x3b48dfb186a12d75?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1b/17/90/8a/caption.jpg
Rahba Kedima Square,"Marrakech 40000 , Morocco",This is a bazaar which mostly offers spices and other specialty goods.,,1-2 hours,7:00 AM - 6:00 PM,Points of Interest & Landmarks,"Bazaar Café,Votre Table,L'Mida Marrakech,Cuisine De Terroir,La Cantine Des Gazelles,Taj Moroccan Food,Jemaa ElFna Restaurant,Terrasse de la fontaine,Dar Cherifa,","Musée Yves Saint Laurent Marrakech,Musée de la Musique,Heritage Museum Marrakech,Souk Semmarine,Boucharouite Museum,Jemaa el-Fnaa,Le Jardin Secret,The Orientalist Museum of Marrakech,Medina of Marrakesh,","Rahba Kedima Square ; Marrakech 40000 , Morocco ; This is a bazaar which mostly offers spices and other specialty goods. ; Points of Interest & Landmarks ; Bazaar Café,Votre Table,L'Mida Marrakech,Cuisine De Terroir,La Cantine Des Gazelles,Taj Moroccan Food,Jemaa ElFna Restaurant,Terrasse de la fontaine,Dar Cherifa,",,https://media-cdn.tripadvisor.com/media/photo-s/19/c2/fa/ae/photo1jpg.jpg
Gueliz,"Gueliz , Marrakech 40000 , Morocco","Dating back to French colonial times, Guéliz's grand streets are home to high-end restaurants of Moroccan and European cuisines, as well as cabarets, chic bars, art galleries, and mainstream fashion boutiques. Founded by the painter Majorelle, then purchased by Yves Saint Laurent, the Majorelle Garden features lawns, cacti, flowers and various elements painted in cobalt blue. Located near El-Harti Park, the Church of the Holy Martyrs features Moorish-style arches. - Google",,,,Neighborhoods • Historic Walking Areas,", '', ,","Palooza Park,Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,The Orientalist Museum of Marrakech,Boucharouite Museum,Dar El Bacha - Musee des Confluences,","Gueliz ; Gueliz , Marrakech 40000 , Morocco ; Dating back to French colonial times, Guéliz's grand streets are home to high-end restaurants of Moroccan and European cuisines, as well as cabarets, chic bars, art galleries, and mainstream fashion boutiques. Founded by the painter Majorelle, then purchased by Yves Saint Laurent, the Majorelle Garden features lawns, cacti, flowers and various elements painted in cobalt blue. Located near El-Harti Park, the Church of the Holy Martyrs features Moorish-style arches. - Google ; Neighborhoods • Historic Walking Areas ; , '', ,",,https://media-cdn.tripadvisor.com/media/photo-s/13/7a/c8/8a/chez-mado.jpg
