,Names,ad_Phone,ad_WebSite,ad_about,ad_adress,ad_cuisine,ad_features,ad_meals,ad_prices,guru_time,near_att,near_hot,near_res,special_diets,ad_Phones,info,tfidf,id,gps
0,Le Tire Bouchon Marrakech,+212 601-880443,http://le-tire-bouchon-marrakech.business.site,"Pleasant brasserie during the day with its lunch formula which changes every day, and typical Parisian French restaurant in the evening with a wide choice of à la carte dishes. Chef Thierry Bodoin, specialized in Bistronome cuisine. Manager Farouk, 15 years of experience in the French Brewery.","Angle Rue Loubnane et Rue Souriya Gueliz En face de la Pharmacie Atlas, deriere le Care eden, Marrakech 40000 Morocco","French, Mediterranean, European, International","Delivery, Takeout, Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Free off-street parking, Wine and Beer, Digital Payments, Family style","Lunch, Dinner, Drinks",MAD 53 - MAD 211,12PM-12AM,"Desert Morocco Adventure,Naturelle d'Argan & Sawira Bazar,Mobilboard Marrakech,Marrakech City Bike Tour,","Toulousain Hotel,Les Trois Palmiers,Villa El Gada,Hotel Le Caspien,","Patisserie Gato,Entrepotes,Le 68 Bar A Vin,", ,+212 601-880443,"Le Tire Bouchon Marrakech ; Angle Rue Loubnane et Rue Souriya Gueliz En face de la Pharmacie Atlas, deriere le Care eden, Marrakech 40000 Morocco ;  ; Pleasant brasserie during the day with its lunch formula which changes every day, and typical Parisian French restaurant in the evening with a wide choice of à la carte dishes. Chef Thierry Bodoin, specialized in Bistronome cuisine. Manager Farouk, 15 years of experience in the French Brewery. ; French, Mediterranean, European, International ; Lunch, Dinner, Drinks ; Delivery, Takeout, Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Free off-street parking, Wine and Beer, Digital Payments, Family style ;   ; Desert Morocco Adventure,Naturelle d'Argan & Sawira Bazar,Mobilboard Marrakech,Marrakech City Bike Tour, ; Toulousain Hotel,Les Trois Palmiers,Villa El Gada,Hotel Le Caspien,","le,tire,bouchon,marrakech,angle,rue,loubnane,et,rue,souriya,gueliz,en,face,de,la,pharmacie,atlas,deriere,le,care,eden,marrakech,morocco,french,mediterranean,european,international,lunch,dinner,drink,delivery,takeout,reservation,private,dining,seating,highchair,available,wheelchair,accessible,serve,alcohol,full,bar,free,wifi,accept,credit,card,table,service,street,parking,free,parking,wine,beer,digital,payment,family,style,desert,morocco,adventure,naturelle,sawira,bazar,mobilboard,marrakech,marrakech,city,bike,tour,toulousain,hotel,les,trois,palmiers,villa,el,gada,hotel,le,caspien",0,/maps/dir//Le+Tire+Bouchon+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefa247cd0a7d:0xa99fe1b8237211f6?sa=X
1,Bazaar Cafe,+212 5243-87283,http://www.bazaarcafe.ma/,"Summer closing from 29 July to 31 August 2019. Inspired by the global street food phenomenon, we propose food of the highest quality at fair price, in an elegant, charming and cozy atmosphere. Our cuisine is based on organic ingredients and locally grown products, with plenty of vegetarian and vegan options. Our selection of Moroccan and foreign wines, beers, spirits and cocktails perfectly match the traditional Arabic and Mediterranean culinary treasures.","Derb Sidi El Yamani, 24B, Marrakech 40000 Morocco","African, Moroccan, Mediterranean, European, Healthy, Middle Eastern","Takeout, Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service","Lunch, Dinner, Brunch",MAD 21 - MAD 95,12PM-10PM,"Le Jardin Secret,Musee de la Musique,Rue du Mouassine Morocco Travel Guide,By Faissal,","Dar Naima,Riad Abaka by ghali,Riad Zouhour,Riad & Spa Azzouz,","Dar Cherifa,Terrasse de la fontaine,Gastro MK at Maison MK,", ,+212 5243-87283,"Bazaar Cafe ; Derb Sidi El Yamani, 24B, Marrakech 40000 Morocco ;  ; Summer closing from 29 July to 31 August 2019. Inspired by the global street food phenomenon, we propose food of the highest quality at fair price, in an elegant, charming and cozy atmosphere. Our cuisine is based on organic ingredients and locally grown products, with plenty of vegetarian and vegan options. Our selection of Moroccan and foreign wines, beers, spirits and cocktails perfectly match the traditional Arabic and Mediterranean culinary treasures. ; African, Moroccan, Mediterranean, European, Healthy, Middle Eastern ; Lunch, Dinner, Brunch ; Takeout, Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service ;   ; Le Jardin Secret,Musee de la Musique,Rue du Mouassine Morocco Travel Guide,By Faissal, ; Dar Naima,Riad Abaka by ghali,Riad Zouhour,Riad & Spa Azzouz,","bazaar,cafe,derb,sidi,el,yamani,marrakech,morocco,african,moroccan,mediterranean,european,healthy,middle,eastern,lunch,dinner,brunch,takeout,outdoor,seating,seating,television,serve,alcohol,full,bar,wine,beer,accept,mastercard,accept,visa,digital,payment,free,wifi,reservation,private,dining,accept,credit,card,table,service,le,jardin,secret,musee,de,la,musique,rue,du,mouassine,morocco,travel,guide,faissal,dar,naima,riad,abaka,ghali,riad,zouhour,riad,spa,azzouz",1,/maps/dir//Bazaar+Cafe+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee681df3a7e3:0xf79980290acaf80d?sa=X
2,La Palette Restaurant Marrakech,+212 622-513311,http://www.lapalette-restaurant.com," After you have seen MACMA Musee d'Art et de Culture de Marrakech, come to this bar. Among other Mediterranean and Moroccan cuisune places to visit, La Palette Restaurant Marrakech can be one of the greatest. Do not go away without trying nicely cooked tempura, tapas and couscous. Tasty parfait, crème brûlée and fruitcake are the best dishes. Many visitors mention that you can have delicious wine at this place. The homely atmosphere of this spot allows customers to relax after a hard working day. The staff is said to be cool here. Fabulous service is something that people highlight in their reviews. This bar can be characterized by the divine decor inside. Google users like La Palette Restaurant Marrakech: it was granted 4.5 stars. ","24 Rue Moulay Ali, Marrakech 40000 Morocco","Gastropub, Moroccan, Mediterranean, European, Healthy, Dining bars","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Live Music","Lunch, Dinner, Drinks",MAD 70 - MAD 280,12PM-11PM,"Morocco Discovery Trip,Morocco Vacation Tour,Libzar Cooking Class,Les Cent Ciels d'Orient,","Tachfine Hotel,Hotel Gomassine,Diwane Hotel & Spa Marrakech,Yaad City Hotel,","Barometre Marrakech,Chez Mado,Amal,", ,+212 622-513311,"La Palette Restaurant Marrakech ; 24 Rue Moulay Ali, Marrakech 40000 Morocco ;  ;  After you have seen MACMA Musee d'Art et de Culture de Marrakech, come to this bar. Among other Mediterranean and Moroccan cuisune places to visit, La Palette Restaurant Marrakech can be one of the greatest. Do not go away without trying nicely cooked tempura, tapas and couscous. Tasty parfait, crème brûlée and fruitcake are the best dishes. Many visitors mention that you can have delicious wine at this place. The homely atmosphere of this spot allows customers to relax after a hard working day. The staff is said to be cool here. Fabulous service is something that people highlight in their reviews. This bar can be characterized by the divine decor inside. Google users like La Palette Restaurant Marrakech: it was granted 4.5 stars.  ; Gastropub, Moroccan, Mediterranean, European, Healthy, Dining bars ; Lunch, Dinner, Drinks ; Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Live Music ;   ; Morocco Discovery Trip,Morocco Vacation Tour,Libzar Cooking Class,Les Cent Ciels d'Orient, ; Tachfine Hotel,Hotel Gomassine,Diwane Hotel & Spa Marrakech,Yaad City Hotel,","la,palette,restaurant,marrakech,rue,moulay,ali,marrakech,morocco,gastropub,moroccan,mediterranean,european,healthy,din,bar,lunch,dinner,drink,reservation,outdoor,seating,seating,serve,alcohol,full,bar,free,wifi,accept,credit,card,table,service,street,parking,wine,beer,live,music,morocco,discovery,trip,morocco,vacation,tour,libzar,cooking,class,le,cent,ciels,tachfine,hotel,hotel,gomassine,diwane,hotel,spa,marrakech,yaad,city,hotel",2,/maps/dir//La+Palette+Restaurant+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefdab311dd9b:0xd67a343c5febc309?sa=X
3,Casa Lalla Restaurant,+212 5244-29757,http://www.casalalla-restaurant.com,"Nestled in the heart of beautiful Riad, Casa Lalla is located just 4 minutesfrom the Jamaa El-Fna square. A unique place decorated in a refined, welcoming and romantic Moroccan style. Ideal for a lovers dinner on the terrasse or in the pleasant patio, by the pool. Every evening, a gourmet Moroccan and International cuisine will be offered, startind at 7:30 pm. To feel good or the art of pampering, such could be the saying of this Marrakech address.","Riad Zitoun Lakdime 16 Derb Jamaa, Marrakech 40000 Morocco","French, Moroccan, European, International","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service", ,MAD 100 - MAD 301,9AM-11PM,"Herboristerie Lamlih,Tissir Jewellery,Aabla Spa,Spa by Jamila,","Casa Lalla,Riad Zinoun,Riad Laly, le bijou de la medina,Riad Azul Marrakech,","Un Dejeuner a Marrakech,BlackChich Cafe Restaurant,Naranj,","Breakfast, Dinner, Drinks",+212 5244-29757,"Casa Lalla Restaurant ; Riad Zitoun Lakdime 16 Derb Jamaa, Marrakech 40000 Morocco ;  ; Nestled in the heart of beautiful Riad, Casa Lalla is located just 4 minutesfrom the Jamaa El-Fna square. A unique place decorated in a refined, welcoming and romantic Moroccan style. Ideal for a lovers dinner on the terrasse or in the pleasant patio, by the pool. Every evening, a gourmet Moroccan and International cuisine will be offered, startind at 7:30 pm. To feel good or the art of pampering, such could be the saying of this Marrakech address. ; French, Moroccan, European, International ;   ; Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service ; Breakfast, Dinner, Drinks ; Herboristerie Lamlih,Tissir Jewellery,Aabla Spa,Spa by Jamila, ; Casa Lalla,Riad Zinoun,Riad Laly, le bijou de la medina,Riad Azul Marrakech,","casa,lalla,restaurant,riad,zitoun,lakdime,derb,jamaa,marrakech,morocco,french,moroccan,european,international,reservation,outdoor,seating,seating,serve,alcohol,full,bar,wine,beer,accept,american,express,accept,mastercard,accept,visa,free,wifi,accept,credit,card,table,service,breakfast,dinner,drink,herboristerie,lamlih,tissir,jewellery,aabla,spa,spa,jamila,casa,lalla,riad,zinoun,riad,laly,le,bijou,de,la,medina,riad,azul,marrakech",3,/maps/dir//Casa+Lalla+Restaurant+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef67a18e8191:0x8722194168a0c570?sa=X
4,Votre Table,+212 5244-41644,http://votretablemarrakech.com/en/,Your Table is a luxurious Moroccan restaurant located in Jeemaa el fena in the heart of the medina of Marrakech. Push the doors of our establishment,"Kennaria Immeuble el Biaz Numéro 3, Marrakech 40000 Morocco","Moroccan, Mediterranean, Healthy,Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Table Service","Lunch, Dinner", ,10:30AM-11PM,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,Trip Marrakech,The Moroccan Trip Planner,","Riad Wazani Square & Spa,Dar Fakir,Hotel Mimosa,Riad Mirage,","Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,", ,+212 5244-41644,"Votre Table ; Kennaria Immeuble el Biaz Numéro 3, Marrakech 40000 Morocco ;  ; Your Table is a luxurious Moroccan restaurant located in Jeemaa el fena in the heart of the medina of Marrakech. Push the doors of our establishment ; Moroccan, Mediterranean, Healthy,Vegetarian Friendly, Vegan Options ; Lunch, Dinner ; Reservations, Outdoor Seating, Seating, Table Service ;   ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,Trip Marrakech,The Moroccan Trip Planner, ; Riad Wazani Square & Spa,Dar Fakir,Hotel Mimosa,Riad Mirage,","votre,table,kennaria,immeuble,el,biaz,numéro,marrakech,morocco,moroccan,mediterranean,healthy,vegetarian,friendly,vegan,option,lunch,dinner,reservation,outdoor,seating,seating,table,service,dune,expedition,musee,yves,saint,laurent,marrakech,trip,marrakech,moroccan,trip,planner,riad,wazani,square,spa,dar,fakir,hotel,mimosa,riad,mirage",4,/maps/dir//Votre+Table+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef1b91cd81f3:0xfe9d9a404abc393c?sa=X
5,Taj Moroccan Food,+212 5244-44294,http://taj-restaurant.ma/,A unique mix of tradition and modernity. TAJ moroccan food is a 100% moroccan restaurant with fine cuisine. Located in the heart of Jemaa EL-Fna in marrakech. You can expect to taste exquisite local traditional moroccan dishes while enjoying the spectacular view of Place Jemaa El-Fna.,"1 Rue Moulay Ismail, Place Jamaa El-fna, Marrakech 40000 Morocco",Moroccan,"Outdoor seating , Booking ,", ,more than MAD 500,7AM-12AM,"Jemaa el-Fnaa,Agadir Activities,Food Markets of Marrakech,Imagine Sahara Tours,","Riad Amirat Al Jamal,Hotel Atlas,Riad Art & Emotions Boutique Hotel & Spa,Hotel Ali,","Snack Grand Atlas,Cafe Restaurant Argana,Al Baraka,", ,+212 5244-44294,"Taj Moroccan Food ; 1 Rue Moulay Ismail, Place Jamaa El-fna, Marrakech 40000 Morocco ;  ; A unique mix of tradition and modernity. TAJ moroccan food is a 100% moroccan restaurant with fine cuisine. Located in the heart of Jemaa EL-Fna in marrakech. You can expect to taste exquisite local traditional moroccan dishes while enjoying the spectacular view of Place Jemaa El-Fna. ; Moroccan ;   ; Outdoor seating , Booking , ;   ; Jemaa el-Fnaa,Agadir Activities,Food Markets of Marrakech,Imagine Sahara Tours, ; Riad Amirat Al Jamal,Hotel Atlas,Riad Art & Emotions Boutique Hotel & Spa,Hotel Ali,","taj,moroccan,food,rue,moulay,ismail,place,jamaa,marrakech,morocco,moroccan,outdoor,seating,booking,jemaa,agadir,activity,food,market,marrakech,imagine,sahara,tour,riad,amirat,al,jamal,hotel,atlas,riad,art,emotion,boutique,hotel,spa,hotel,ali",5,/maps/dir//Taj+Moroccan+Food+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefdfde2cbe27:0x872339636976271a?sa=X
6,Azar,+212 5244-30920,http://www.azarmarrakech.com,"Lebanese and moroccan restaurant located in Gueliz. Live music, belly dancers show, terrace, lounge and shisha bar. The perfect place to discover the oriental way in Marrakesh.","Rue de Yougoslavie, Marrakech Morocco","Lebanese, Moroccan, Mediterranean, Middle Eastern","Reservations, Outdoor Seating, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards", ,MAD 261 - MAD 462,7PM-1AM,"Agafay Desert Camel Ride,Sahara Wanderlust,Dahbi Morocco Tours,Desert Space Tour,","Meriem Hotel,Imperial Holiday Hotel & Spa,Hotel Fashion,Hotel Almas,","Dameh,Bagatelle,Delices Strouza,","Dinner, Drinks",+212 5244-30920,"Azar ; Rue de Yougoslavie, Marrakech Morocco ;  ; Lebanese and moroccan restaurant located in Gueliz. Live music, belly dancers show, terrace, lounge and shisha bar. The perfect place to discover the oriental way in Marrakesh. ; Lebanese, Moroccan, Mediterranean, Middle Eastern ;   ; Reservations, Outdoor Seating, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards ; Dinner, Drinks ; Agafay Desert Camel Ride,Sahara Wanderlust,Dahbi Morocco Tours,Desert Space Tour, ; Meriem Hotel,Imperial Holiday Hotel & Spa,Hotel Fashion,Hotel Almas,","azar,rue,de,yougoslavie,marrakech,morocco,lebanese,moroccan,mediterranean,middle,eastern,reservation,outdoor,seating,valet,parking,wheelchair,accessible,serve,alcohol,full,bar,free,wifi,accept,credit,card,dinner,drink,agafay,desert,camel,ride,sahara,wanderlust,dahbi,morocco,tour,desert,space,tour,meriem,hotel,imperial,holiday,hotel,spa,hotel,fashion,hotel,almas",6,/maps/dir//Azar+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8d93a22ea5:0xbee6d029512be825?sa=X
7,Cuisine De Terroir,+212 610-193183,http://www.facebook.com/Cuisine.de.terroir/,"a beautiful traditional Moroccan restaurant, delicious dishes, we recommend that you choose a table on the terrace, a very pleasant traditional musical atmosphere to recommend at all during your stay in Marrakech! Nothing to say, very good. The decor is very nice, typical Moroccan refined enough","St Kennaria 118 Immeuble biyaze, Marrakech 40000 Morocco",Moroccan,"Delivery, Highchairs Available, Wheelchair Accessible, Takeout, Reservations, Outdoor Seating, Seating, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service", ,MAD 15 - MAD 70,11AM-11PM,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,The Moroccan Trip Planner,Trip Marrakech,","Riad Wazani Square & Spa,Dar Fakir,Hotel Mimosa,Riad Mirage,","Votre Table,La Cantine Des Gazelles,Jemaa ElFna Restaurant,","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",+212 610-193183,"Cuisine De Terroir ; St Kennaria 118 Immeuble biyaze, Marrakech 40000 Morocco ;  ; a beautiful traditional Moroccan restaurant, delicious dishes, we recommend that you choose a table on the terrace, a very pleasant traditional musical atmosphere to recommend at all during your stay in Marrakech! Nothing to say, very good. The decor is very nice, typical Moroccan refined enough ; Moroccan ;   ; Delivery, Highchairs Available, Wheelchair Accessible, Takeout, Reservations, Outdoor Seating, Seating, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service ; Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,The Moroccan Trip Planner,Trip Marrakech, ; Riad Wazani Square & Spa,Dar Fakir,Hotel Mimosa,Riad Mirage,","cuisine,de,terroir,st,kennaria,immeuble,biyaze,marrakech,morocco,moroccan,delivery,highchair,available,wheelchair,accessible,takeout,reservation,outdoor,seating,seating,accept,mastercard,accept,visa,free,wifi,table,service,breakfast,lunch,dinner,brunch,late,night,drink,dune,expedition,musee,yves,saint,laurent,marrakech,moroccan,trip,planner,trip,marrakech,riad,wazani,square,spa,dar,fakir,hotel,mimosa,riad,mirage",7,/maps/dir//Cuisine+De+Terroir+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefae357565df:0x350586d7d7dce719?sa=X
8,Ma Maison,+212 649-071498,http://www.mamaisonmarrakech.com,"Italy, France, and its flavors in Marrakech. We are happy to welcome you to our new restaurant “Ma Maison“, for a friendly moment, around an aperitif or another wine! Our pizzas are cooked over a wood fire, and all our desserts are made by our pastry chef.","64 Arset Aouzal Bab Doukkala Medina Dar El B Acha, Marrakech 40000 Morocco","Pizza, Italian, French, European, Healthy, Dining bars","Reservations, Outdoor Seating, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Digital Payments, Live Music, Dog Friendly, Family style","Dinner, Late Night, Drinks",MAD 106 - MAD 317,6PM-12AM,"Dar El Bacha - Musee des Confluences,Majdoline travel,Rue du Mouassine Morocco Travel Guide,Rue Bab Doukkala Market,","72 Riad Living,Riad Fatinat Marrakech,Riad Jomana,Riad Malika,","La Table Du Riad at 72 Riad Living,Chez Yassine,Riad Kniza Restaurant,", ,+212 649-071498,"Ma Maison ; 64 Arset Aouzal Bab Doukkala Medina Dar El B Acha, Marrakech 40000 Morocco ;  ; Italy, France, and its flavors in Marrakech. We are happy to welcome you to our new restaurant “Ma Maison“, for a friendly moment, around an aperitif or another wine! Our pizzas are cooked over a wood fire, and all our desserts are made by our pastry chef. ; Pizza, Italian, French, European, Healthy, Dining bars ; Dinner, Late Night, Drinks ; Reservations, Outdoor Seating, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Digital Payments, Live Music, Dog Friendly, Family style ;   ; Dar El Bacha - Musee des Confluences,Majdoline travel,Rue du Mouassine Morocco Travel Guide,Rue Bab Doukkala Market, ; 72 Riad Living,Riad Fatinat Marrakech,Riad Jomana,Riad Malika,","maison,arset,aouzal,bab,doukkala,medina,dar,el,acha,marrakech,morocco,pizza,italian,french,european,healthy,din,bar,dinner,late,night,drink,reservation,outdoor,seating,private,dining,seating,wheelchair,accessible,serve,alcohol,full,bar,free,wifi,accept,credit,card,table,service,wine,beer,digital,payment,live,music,dog,friendly,family,style,dar,el,bacha,musee,de,confluence,majdoline,travel,rue,du,mouassine,morocco,travel,guide,rue,bab,doukkala,market,riad,living,riad,fatinat,marrakech,riad,jomana,riad,malika",8,/maps/dir//Ma+Maison+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef8ca0763ab7:0x900507c23d64a203?sa=X
9,Chez Mado,+212 5244-21494,http://www.restaurantchezmado.com,"New Chef, New Decoration, Bar Area, New Terrace, Seafood, Fish And Meat Platters","Rue Moulay Ali Gueliz, Marrakech 40000 Morocco","French, Seafood, Mediterranean, European","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music","Lunch, Dinner",MAD 264 - MAD 528,12PM-3PM7PM-11PM,"Morocco Discovery Trip,Morocco Vacation Tour,Imzi Tours Inter - Day Tours,Libzar Cooking Class,","Diwane Hotel & Spa Marrakech,Tachfine Hotel,Hotel Gomassine,Amalay Hotel,","Barometre Marrakech,La Palette Restaurant Marrakech,Libzar,", ,+212 5244-21494,"Chez Mado ; Rue Moulay Ali Gueliz, Marrakech 40000 Morocco ;  ; New Chef, New Decoration, Bar Area, New Terrace, Seafood, Fish And Meat Platters ; French, Seafood, Mediterranean, European ; Lunch, Dinner ; Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music ;   ; Morocco Discovery Trip,Morocco Vacation Tour,Imzi Tours Inter - Day Tours,Libzar Cooking Class, ; Diwane Hotel & Spa Marrakech,Tachfine Hotel,Hotel Gomassine,Amalay Hotel,","chez,mado,rue,moulay,ali,gueliz,marrakech,morocco,french,seafood,mediterranean,european,lunch,dinner,reservation,seating,highchair,available,wheelchair,accessible,serve,alcohol,full,bar,free,wifi,accept,credit,card,table,service,live,music,morocco,discovery,trip,morocco,vacation,tour,imzi,tour,inter,day,tour,libzar,cooking,class,diwane,hotel,spa,marrakech,tachfine,hotel,hotel,gomassine,amalay,hotel",9,/maps/dir//Chez+Mado+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee901f90ef8d:0xcdcc0b13e944c040?sa=X
