station_id,ligne_id,station_place,ligne_num
78501,1,JAMAA EL FNA,L1N
78502,1,KOUTOUBIA,L1N
78503,1,HOTEL DE VILLE,L1N
78504,1,R.P BERDII,L1N
78505,1,CAREE EDEN,L1N
78506,1,PL ABDELMOUMEN,L1N
78507,1,PLACE D'ARMES,L1N
78508,1,F S T,L1N
78509,1,SEMIRAMIS,L1N
78510,1,DR KUDIA,L1N
78511,1,MCDO,L1N
78512,1,CAFE AMINE,L1N
78513,1,FAC SEMLALIA,L1N
78514,1,ROUIDATE,L1N
78501,2,JAMAA EL FNA,L2N
78502,2,KOUTOUBIA,L2N
78503,2,HOTEL DE VILLE,L2N
78555,2,BAB LAARISSA,L2N
78518,2,BAB DOUKALA,L2N
78620,2,GRAND POSTE,L2N
78621,2,OFFICE HAOUZE,L2N
79085,2,GARE ONCF,L2N
78622,2,GROUPE HONDA,L2N
78623,2,AR MENARA,L2N
78624,2,AIN MEZWAR,L2N
78625,2,IBN TOUMERT,L2N
78626,2,SOUK AZLI L5,L2N
78627,2,USINE COCACOLA,L2N
78628,2,PISCINE MASSIRA,L2N
78629,2,DR IZIKI,L2N
78630,2,AV ESSAOUIRA,L2N
78631,2,ST OLIBYA,L2N
78786,3,QWASS,L4N
78787,3,CLINIQUE AEROPORT,L4N
78788,3,AEOROPORT,L4N
78789,3,BOUAKAZ,L4N
78790,3,JARDIN MENARA,L4N
78791,3,MENARA MALL,L4N
79013,3,LE MERIDIEN,L4N
79014,3,LYCEE HASSAN 2,L4N
78661,3,OFFICE HAOUZE,L4N
78662,3,GRAND POSTE,L4N
78595,3,BAB DOUKALA,L4N
78531,3,HOTEL DE VILLE,L4N
78502,3,KOUTOUBIA,L4N
78501,4,JAMAA EL FNA,L3N
78502,4,KOUTOUBIA,L3N
78503,4,HOTEL DE VILLE,L3N
78555,4,BAB LAARISSA,L3N
78518,4,BAB DOUKALA,L3N
78596,4,BOUKAR. BAB DOUKALA,L3N
78597,4,ALFA 2000,L3N
78598,4,HOTEL REDOUANE,L3N
78599,4,RUE PALESTINE,L3N
78600,4,PSCINE MUNICIPALE,L3N
78809,4,PH NASR,L3N
78744,4,AMERCHICH,L3N
78879,4,ALWARDA,L3N
78723,4,CMR ISSIL,L3N
78725,4,MALIZIA 2,L3N
78726,4,MARJANE,L3N
78866,4,QUARTIER SAADA,L3N
735001,5,BAB GHMAT DEPART,L321
735002,5,AIN SLIM DWAR 1,L321
735003,5,AIN SLIM DWAR 2,L321
79604,6,MINISTRE TRANS DIV TAHNAOUT,L 40
79605,6,PROVINCE TAHNAOUT,L 40
79606,6,ALI BOUFARSS,L 40
79607,6,TAHNAOUT ANAPEC,L 40
79821,6,HOPITAL MED 5,L 40
72970,6,ZMOUMA,L 40
79822,6,DOUA SOR,L 40
79823,6,ZRAYB,L 40
79824,6,EZRIBA TADRARA,L 40
79825,6,OUED ISSIL 3,L 40
79826,6,DR BELGHALI,L 40
79827,6,AMEKHLIJ,L 40
79828,6,ESSBITI,L 40
79829,6,MOSQUE AAGRAB,L 40
79252,6,ENTREE OURIKA,L 40
79253,6,ARTISANA,L 40
79254,6,PH CENTRAL OURIKA,L 40
79255,6,OURIKA CENTRE,L 40
79256,6,TNIN OURIKA,L 40
79830,6,DOUAR LKHMIS,L 40
79800,6,TAMAZOUZT,L 40
72969,6,ENTREE TAMAZOUZT V,L 40
72968,6,RESTAURANT ASOUNFOU V,L 40
79801,6,CENTRE FORMATION DE FEMME,L 40
79802,6,OUSSOUSS,L 40
79803,6,SEDRA,L 40
79804,6,RTE AITOURIR,L 40
79831,6,BOUZALLOUM,L 40
79832,6,LGUEMRI,L 40
79833,6,GADJEN,L 40
79834,6,IGUERFEROUANE,L 40
79835,6,IGOUDAR,L 40
79836,6,ZAOUIA,L 40
79837,6,ZAOUIA 2,L 40
72971,6,AMANOUSS,L 40
79838,6,AIT FASSKA,L 40
79839,6,DOUAR LMARSS,L 40
79840,6,DR MY ALI,L 40
79841,6,SAHAM ASSURANCES,L 40
79842,6,SOUK AIT OURIR,L 40
79843,6,HASSAN SAGHIR,L 40
79458,6,PARQUE BUS AIT OURIR,L 40
69632,7,MARCHE SAADA,L332
69633,7,LWAD,L332
69634,7,MOULAY LYAMIN,L332
69635,7,LHANOUT,L332
69636,7,HDIDOUR,L332
69637,7,ECOLE HOUIDRA,L332
69638,7,HOUIDRA,L332
69639,7,DOUAR DRAOUA,L332
69640,7,MOUSQUE JADID,L332
69641,7,MOUSQUE LKDIM,L332
69642,7,DAR ZOUFRI,L332
69643,7,OULAD BEN SBAA,L332
72997,7,CENTRE OULAD BEN SBAA,L332
79129,7,SOUK OUDAYA,L332
78501,8,JAMAA EL FNA,L1
78502,8,KOUTOUBIA,L1
78503,8,HOTEL DE VILLE,L1
78504,8,R.P BERDII,L1
78505,8,CAREE EDEN,L1
78506,8,PL ABDELMOUMEN,L1
78507,8,PLACE D'ARMES,L1
78508,8,F S T,L1
78509,8,SEMIRAMIS,L1
78510,8,DR KUDIA,L1
78511,8,MCDO,L1
78512,8,CAFE AMINE,L1
78513,8,FAC SEMLALIA,L1
78514,8,ROUIDATE,L1
78501,9,JAMAA EL FNA,L2
78502,9,KOUTOUBIA,L2
78503,9,HOTEL DE VILLE,L2
78555,9,BAB LAARISSA,L2
78518,9,BAB DOUKALA,L2
78620,9,GRAND POSTE,L2
78621,9,OFFICE HAOUZE,L2
79085,9,GARE ONCF,L2
78622,9,GROUPE HONDA,L2
78623,9,AR MENARA,L2
78624,9,AIN MEZWAR,L2
78625,9,IBN TOUMERT,L2
78626,9,SOUK AZLI L5,L2
78627,9,USINE COCACOLA,L2
78628,9,PISCINE MASSIRA,L2
78629,9,DR IZIKI,L2
78630,9,AV ESSAOUIRA,L2
78631,9,ST OLIBYA,L2
78501,10,JAMAA EL FNA,L3
78502,10,KOUTOUBIA,L3
78503,10,HOTEL DE VILLE,L3
78555,10,BAB LAARISSA,L3
78518,10,BAB DOUKALA,L3
78596,10,BOUKAR. BAB DOUKALA,L3
78597,10,ALFA 2000,L3
78598,10,HOTEL REDOUANE,L3
78599,10,RUE PALESTINE,L3
78600,10,PSCINE MUNICIPALE,L3
78809,10,PH NASR,L3
78744,10,AMERCHICH,L3
78879,10,ALWARDA,L3
78723,10,CMR ISSIL,L3
