id,line,depart,terminus
1,L1N,JAMMA EL FNA,ROUIDATE
2,L111 SDL,MARJANE TERMINUS SDL,KOUTOUBIA TERMINUS SDL
3,L2N,JAMAA EL FNA,ST OLIBYA
4,L4N,QWASS,KOUTOUBIA
5,L3N,JAMAA EL FNA,QUARTIER SAADA
6,L321,BAB GHMAT DEPART,AIN SLIM DWAR 2
7,L 40,MINISTRE TRANS DIV TAHNAOUT,PARQUE BUS AIT OURIR
8,L332,MARCHE SAADA,SOUK OUDAYA
9,L1,JAMAA EL FNA,ROUIDATE
10,L2,JAMAA EL FNA,ST OLIBYA
11,L3,JAMAA EL FNA,QUARTIER SAADA
12,L4,QWASS,KOUTOUBIA
13,L5,JAMAA EL FNA,DOHA TERMINUS
14,L6,BAB GHMAT TERMINUS,MASSIRA 3
15,L7,TERMINU L7,MARCHÚ GROS TERMINUS
16,L9,MASSIRA 3,DOUAR DLAM
17,L10,JAMAA EL FNA,MASSIRA 3
18,L11,MARJANE TERMINUS SDL,KOUTOUBIA TERMINUS SDL
19,L12,BAB DOUKALA,MHAMID 9
20,L13,MASSIRA 3,SANAWBAR
21,L14,JAMAA EL FNA,AZLI SUD
22,L15,ARSET BILK,"ATTIJARI S,GHANEM"
23,L16,JAMAA EL FNA,AZZOUZIA
24,L17,KOUTOUBIA,CENTRE AMERICAIN
25,L18,TERMINUS EL BARAKA,BAB DOUKALA
26,L19,JAMAA EL FNA,ENTREE AEROPOT
27,L20,BAB GHMAT TERMINUS,TERMINUS MAATLLAH
28,L21,CLINIQUE AEROPORT,COMPLEXE CULTUREL
29,L22,BAB DOUKALA CIMETIERE,SIDI ZOUINE
30,L23,BAB DOUKALA CIMETIERE,SOUIHLA
31,L24,SIDI MIMOUN REGION,TAMSLOHT
32,L25,SIDI MIMOUN REGION,TNIN OURIKA
33,L26,GARE ROUTIERE,OUIDANE
34,L27,BAB DOUKALA CIMETIERE,DR JAMAA
36,L29,BAB GHMAT 2,PARQUE BUS AIT OURIR
37,L30,PONT V,HOSPITAL BN SINA
38,L31,TERRAIN SYBA,"ANCIEN TERMINUS S,GHANM"
39,L32,BAB GHMAT DEPART,AIN SLIM DWAR 2
40,L33,MARCHE SAADA,SOUK OUDAYA
41,L35,SIDI MIMOUN REGION,TAHNAOUT
42,L36,GARE ROUTIERE,BEL AAGID
43,L38,BAB DOUKALA,BEN GUERIR
44,L39,BAB GHMAT 2,TAMAZOUZT
46,L43,BAB DOUKALA,CHICHAOUA
47,L44,ASWAK SALAM,CENTRE 44
48,L45,SIDI MIMOUN REGION,AMIZMIZ
51,L261,GARE ROUTIERE,SIDI RAHAL
52,L262,GARE ROUTIERE,ZAOUIAT BEN SASSI
53,L441,ASWAK SALAM,TERMINUS
